,outlet_id,balance,total_quantity,total_price,order_frequency_avg,days_late_delivery_avg,days_until_delivery_avg,ordering_pattern_mode,high_qty_high_amt,high_qty_less_amt,less_qty_high_amt,less_qty_less_amt,beat_name,city,pin,state,outletcategory
0,498,0,144,43643,1,1,1,Frequent,3,0,0,0,,,,,
1,713,36453,8,1403,8,0,0,Frequent,9,0,6,1,Kolsewadi (Kalyan E),Kalyan,421306.0,MAHARASHTRA,Kirana / Grocery / General Store
2,1542,120363,6,1081,7,0,0,Frequent,2,0,6,11,Bhandari (Bhiwandi),Bhiwandi,421302.0,MAHARASHTRA,Kirana / Grocery / General Store
3,1697,0,6,1148,7,0,0,Frequent,1,0,9,9,Teen Batti (Bhiwandi),,,,
4,2032,0,8,1042,9,0,0,Frequent,1,0,0,2,Ram Vadi - Ashagadh - Savta,Dhanu,,MAHARASHTRA,Kirana / Grocery / General Store
5,2033,0,14,975,7,0,0,Frequent,1,0,0,2,Ram Vadi - Ashagadh - Savta,Dhanu,,MAHARASHTRA,Kirana / Grocery / General Store
6,2034,2060,12,1233,25,0,0,Frequent,4,0,0,2,Ram Vadi - Ashagadh - Savta,Dhanu,,MAHARASHTRA,Kirana / Grocery / General Store
7,2035,0,10,1424,7,0,0,Frequent,2,0,0,1,Ram Vadi - Ashagadh - Savta,Dhanu,,MAHARASHTRA,Kirana / Grocery / General Store
8,2036,0,14,1388,18,0,0,Frequent,2,0,1,0,Ram Vadi - Ashagadh - Savta,Dhanu,,MAHARASHTRA,Kirana / Grocery / General Store
9,2037,0,9,1277,29,0,0,Infrequent,2,0,0,2,Ram Vadi - Ashagadh - Savta,Dhanu,,MAHARASHTRA,Kirana / Grocery / General Store
10,2039,1187,7,1044,24,0,0,Frequent,2,0,0,2,Ram Vadi - Ashagadh - Savta,Dhanu,,MAHARASHTRA,Kirana / Grocery / General Store
11,2041,0,5,2030,43,0,0,Infrequent,1,0,2,1,Ram Vadi - Ashagadh - Savta,Dhanu,,MAHARASHTRA,Kirana / Grocery / General Store
12,2044,4142,5,1989,20,0,0,Frequent,1,0,3,2,Ram Vadi - Ashagadh - Savta,Dhanu,,MAHARASHTRA,Kirana / Grocery / General Store
13,2047,0,10,1435,58,0,0,Infrequent,2,0,1,0,Ram Vadi - Ashagadh - Savta,Dhanu,,MAHARASHTRA,Kirana / Grocery / General Store
14,2048,0,1,1454,31,0,0,Infrequent,0,0,2,0,Ram Vadi - Ashagadh - Savta,Dhanu,,MAHARASHTRA,Kirana / Grocery / General Store
15,2049,0,5,1411,21,0,0,Frequent,1,0,1,1,Ram Vadi - Ashagadh - Savta,Dhanu,,MAHARASHTRA,Kirana / Grocery / General Store
16,2050,0,10,1317,11,0,0,Frequent,3,0,2,1,Ram Vadi - Ashagadh - Savta,Dhanu,,MAHARASHTRA,Kirana / Grocery / General Store
17,2054,0,6,1287,23,0,0,Infrequent,1,0,1,1,Ram Vadi - Ashagadh - Savta,Dhanu,,MAHARASHTRA,Kirana / Grocery / General Store
18,2064,0,5,1000,21,0,0,Frequent,1,0,0,3,Talasari,Dhanu,,MAHARASHTRA,Kirana / Grocery / General Store
19,2298,14900,22,3165,13,0,0,Frequent,7,0,4,0,Manor Road (Palghar E),Palghar,401404.0,MAHARASHTRA,Kirana / Grocery / General Store
20,2299,21852,15,2751,14,0,0,Regular,8,0,3,0,Manor Road (Palghar E),Palghar,,MAHARASHTRA,Kirana / Grocery / General Store
21,2300,14700,16,2427,15,0,0,Frequent,7,0,4,0,Manor Road (Palghar E),Palghar,,MAHARASHTRA,Kirana / Grocery / General Store
22,2301,17530,10,2246,14,0,0,Regular,6,0,5,1,Manor Road (Palghar E),Palghar,401404.0,MAHARASHTRA,Kirana / Grocery / General Store
23,2302,16146,18,3255,18,0,0,Frequent,5,0,3,1,Manor Road (Palghar E),Palghar,,MAHARASHTRA,Kirana / Grocery / General Store
24,2303,18342,15,2966,14,0,0,Regular,5,0,6,1,Manor Road (Palghar E),Palghar,,MAHARASHTRA,Kirana / Grocery / General Store
25,2304,14124,20,3439,18,0,0,Frequent,5,0,4,0,Manor Road (Palghar E),Palghar,,MAHARASHTRA,Kirana / Grocery / General Store
26,2306,20239,16,2733,11,0,0,Frequent,9,0,6,0,Manor Road (Palghar E),Palghar,401404.0,MAHARASHTRA,Kirana / Grocery / General Store
27,2307,19893,20,2983,15,0,0,Frequent,6,0,5,0,Manor Road (Palghar E),Palghar,401404.0,MAHARASHTRA,Oil Trader
28,2308,17010,17,2695,12,0,0,Frequent,9,0,3,1,Manor Road (Palghar E),Palghar,401402.0,MAHARASHTRA,Kirana / Grocery / General Store
29,2309,14664,17,2698,12,0,0,Regular,8,0,3,1,Manor Road (Palghar E),Palghar,,MAHARASHTRA,Kirana / Grocery / General Store
30,2310,13641,19,2472,16,0,0,Regular,7,0,3,0,Manor Road (Palghar E),Palghar,,MAHARASHTRA,Kirana / Grocery / General Store
31,2311,16177,11,2534,15,0,0,Frequent,4,0,5,2,Manor Road (Palghar E),Palghar,,MAHARASHTRA,Kirana / Grocery / General Store
32,2312,22010,14,2401,12,0,0,Frequent,6,0,6,2,Manor Road (Palghar E),Palghar,,MAHARASHTRA,Kirana / Grocery / General Store
33,2314,14390,20,2911,15,0,0,Regular,6,0,4,0,Manor Road (Palghar E),Palghar,401404.0,MAHARASHTRA,Kirana / Grocery / General Store
34,2319,20586,17,3167,15,0,0,Frequent,6,0,4,0,Manor Road (Palghar E),Palghar,,MAHARASHTRA,Kirana / Grocery / General Store
35,2320,21578,19,3274,12,0,0,Frequent,5,0,4,0,Manor Road (Palghar E),Palghar,,MAHARASHTRA,Kirana / Grocery / General Store
36,2321,16007,17,2847,15,0,0,Frequent,7,0,3,0,Manor Road (Palghar E),Palghar,,MAHARASHTRA,Kirana / Grocery / General Store
37,2322,16595,19,2717,16,0,0,Regular,7,0,2,1,Manor Road (Palghar E),Palghar,,MAHARASHTRA,Kirana / Grocery / General Store
