y,p_positive,p_negative
1,0.6405109,0.35948908
1,0.5640667,0.4359333
1,0.64445055,0.35554945
1,0.5882626,0.41173738
0,0.3643526,0.6356474
0,0.31725976,0.6827402
0,0.5932741,0.40672588
1,0.91933507,0.08066493
1,0.8928135,0.107186496
1,0.5937217,0.4062783
1,0.71490425,0.28509575
1,0.5315606,0.4684394
1,0.6169372,0.38306278
1,0.74650395,0.25349605
1,0.79560095,0.20439905
1,0.7071854,0.2928146
0,0.7600013,0.2399987
1,0.68398166,0.31601834
1,0.8300691,0.16993088
0,0.65691876,0.34308124
0,0.5014888,0.4985112
0,0.21386401,0.786136
1,0.7858518,0.21414822
1,0.86589044,0.13410956
1,0.7019458,0.29805422
1,0.94730145,0.052698553
1,0.3195983,0.6804017
0,0.7615156,0.23848438
0,0.6670311,0.3329689
1,0.6777604,0.32223958
0,0.64781886,0.35218114
1,0.98384017,0.016159832
0,0.7351296,0.2648704
1,0.4299482,0.5700518
1,0.9748537,0.025146306
0,0.43582088,0.5641791
0,0.22872712,0.7712729
1,0.5574354,0.4425646
1,0.8760981,0.1239019
0,0.46109107,0.53890896
1,0.29956335,0.70043665
1,0.495983,0.504017
1,0.66555876,0.33444124
1,0.5333349,0.4666651
1,0.43351656,0.56648344
1,0.75630075,0.24369925
1,0.58708835,0.41291165
1,0.6161463,0.38385367
0,0.45309666,0.5469034
1,0.8769494,0.12305057
1,0.4882602,0.5117398
1,0.9972972,0.0027027726
0,0.48385698,0.516143
1,0.77682954,0.22317046
1,0.4907399,0.50926006
0,0.77935445,0.22064555
1,0.92231447,0.077685535
1,0.595392,0.404608
1,0.82491845,0.17508155
0,0.78203917,0.21796083
0,0.62965447,0.37034553
0,0.6503171,0.34968293
1,0.94544274,0.054557264
1,0.6841116,0.3158884
0,0.8206464,0.1793536
1,0.7250929,0.2749071
0,0.748874,0.251126
1,0.8012433,0.1987567
1,0.36783314,0.63216686
1,0.80110854,0.19889146
0,0.7064233,0.29357672
1,0.5903336,0.40966642
0,0.56544113,0.43455887
0,0.5820351,0.41796488
0,0.35715985,0.64284015
1,0.50417876,0.49582124
0,0.42151827,0.57848173
0,0.52548844,0.47451156
1,0.9376995,0.062300503
0,0.49552178,0.5044782
0,0.5267898,0.47321022
1,0.44770026,0.55229974
1,0.48069486,0.5193051
1,0.38649392,0.6135061
1,0.6469435,0.3530565
1,0.6521105,0.34788948
1,0.8459328,0.15406722
0,0.59118146,0.40881854
0,0.5391339,0.4608661
0,0.51179457,0.48820543
1,0.63238525,0.36761475
0,0.5602788,0.43972123
1,0.6039005,0.3960995
1,0.8525321,0.14746791
1,0.6009581,0.3990419
1,0.9216182,0.07838178
0,0.754601,0.245399
1,0.50971,0.49029
1,0.8506264,0.14937359
0,0.50735277,0.49264723
0,0.58728087,0.41271913
1,0.7348652,0.2651348
1,0.4806612,0.5193388
1,0.68534493,0.31465507
0,0.42415687,0.5758431
1,0.3501789,0.6498211
1,0.38454434,0.6154556
1,0.8084135,0.1915865
1,0.5470074,0.45299262
1,0.7040377,0.29596227
1,0.55487096,0.44512904
0,0.880194,0.11980599
0,0.2642167,0.73578334
1,0.6627932,0.33720678
0,0.79447234,0.20552766
0,0.6468367,0.3531633
1,0.29360566,0.7063943
0,0.5447072,0.45529282
1,0.81164616,0.18835384
0,0.54793257,0.45206743
1,0.5567733,0.4432267
1,0.97581476,0.02418524
0,0.2865509,0.7134491
1,0.59181386,0.40818614
1,0.47968408,0.5203159
0,0.4993285,0.5006715
0,0.48484546,0.51515454
1,0.5790995,0.42090052
1,0.9080483,0.09195173
0,0.5249377,0.4750623
1,0.8287103,0.17128968
0,0.5238405,0.4761595
1,0.5185827,0.4814173
1,0.52736795,0.47263205
1,0.9115888,0.08841121
0,0.56972057,0.43027943
1,0.5230019,0.4769981
1,0.70618266,0.29381734
0,0.55211246,0.44788754
0,0.72686714,0.27313286
1,0.5336632,0.4663368
0,0.37510675,0.62489325
1,0.5271547,0.47284532
0,0.63310486,0.36689514
0,0.57246846,0.42753154
0,0.5092001,0.4907999
1,0.60784274,0.39215726
0,0.61686945,0.38313055
0,0.52932906,0.47067094
0,0.3588642,0.6411358
1,0.69480646,0.30519354
1,0.9587489,0.041251123
1,0.4602437,0.5397563
0,0.57646424,0.42353576
0,0.41973722,0.5802628
1,0.77857137,0.22142863
1,0.5717396,0.4282604
1,0.811391,0.188609
1,0.6839772,0.3160228
1,0.7198257,0.28017431
0,0.74371666,0.25628334
1,0.5882438,0.41175622
1,0.9749131,0.02508688
1,0.8485013,0.15149868
0,0.39582482,0.6041752
0,0.57149047,0.42850953
1,0.8460935,0.15390652
1,0.9687733,0.031226695
0,0.586731,0.41326898
1,0.83397514,0.16602486
1,0.791476,0.20852399
1,0.5597399,0.4402601
